NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04366232,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,Hopital d'instruction des Armees Sainte-Anne,Treatment,Phase 2,54,2020-08-31,France,Unknown
NCT04460027,Athena Robinson,Stanford University,Treatment,Phase 1,160,2020-08-31,United States,Recruiting
NCT04347460,Technische Universität München,Not Applicable,Generic,Unknown,20,2020-08-31,Germany,Recruiting
NCT04446104,"National University Hospital, Singapore",Not Applicable,Prevention,Phase 3,4257,2020-08-31,Singapore,Unknown
NCT04357847,"University Hospital, Rouen",Not Applicable,Generic,Unknown,100,2020-08-31,France,Recruiting
NCT04416061,Hong Kong Sanatorium & Hospital,Not Applicable,Generic,Unknown,2500,2020-08-31,Hong Kong,Unknown
NCT04373096,"University Health Network, Toronto",Not Applicable,Prevention,Unknown,42,2020-08-31,N.A,Unknown
NCT04519307,Dr. Behcet Uz Children's Hospital,Not Applicable,Generic,Unknown,72,2020-08-31,Turkey,Unknown
NCT04386668,"University College, London",Not Applicable,Other,Unknown,80,2020-08-31,United Kingdom,Unknown
NCT04531735,Dr. Behcet Uz Children's Hospital,Not Applicable,Generic,Unknown,28,2020-08-31,Turkey,Unknown
NCT04536285,Ain Shams University,Not Applicable,Generic,Unknown,36,2020-08-31,Egypt,Unknown
NCT04361838,Kansas City Heart Rhythm Institute,Not Applicable,Supportive Care,Unknown,1000,2020-08-31,United States,Recruiting
NCT04443803,Randy Loftus,Not Applicable,Generic,Unknown,9,2020-08-31,N.A,Unknown
NCT04542954,Hamid Al-Essa Organ Transplant Center,"Ministry of Health, Kuwait",Generic,Unknown,104,2020-08-31,Kuwait,Unknown
NCT04383483,Bursa Yüksek İhtisas Education and Research Hospital,Not Applicable,Generic,Unknown,100,2020-08-31,Turkey,Recruiting
NCT04343651,"CytoDyn, Inc.",Not Applicable,Treatment,Phase 2,86,2020-08-31,United States,Unknown
NCT04527133,Aviron LLC,Not Applicable,Treatment,Unknown,30,2020-08-31,Russian Federation,Unknown
NCT04408196,Fondazione Don Carlo Gnocchi Onlus,Not Applicable,Generic,Unknown,200,2020-08-31,Italy,Recruiting
NCT04471701,"Institute of Biomedical Technologies-National Research Council, Italy","National Research Council, Institute of Clinical Physiology, Italy",Generic,Unknown,200000,2020-08-31,Italy,Recruiting
NCT04387890,Hospital Italiano de Buenos Aires,Roche Pharma AG,Generic,Unknown,50,2020-08-31,N.A,Unknown
NCT04405973,Dr. Alexander Supady,Not Applicable,Generic,Unknown,100,2020-08-31,Germany,Recruiting
NCT04473300,Osaka University,Hospital Rebagliati,Generic,Unknown,20,2020-08-31,Japan,Recruiting
NCT04477473,"University Hospital, Geneva",Not Applicable,Generic,Unknown,100,2020-08-31,Switzerland,Recruiting
NCT04377737,Fondation Lenval,Not Applicable,Diagnostic,Unknown,0,2020-09-01,France,Unknown
NCT04573270,Thomas Advanced Medical LLC,HeartStem Institute,Treatment,Phase 1,40,2020-09-01,United States,Unknown
NCT04346147,Hospital Universitario de Fuenlabrada,Centro Nacional de Investigaciones Oncologicas CARLOS III,Treatment,Phase 2,165,2020-09-01,Spain,Recruiting
NCT04481633,"University Hospital, Toulouse",Not Applicable,Other,Unknown,800,2020-09-01,France,Unknown
NCT04341675,University of Cincinnati,Not Applicable,Treatment,Phase 2,30,2020-09-01,United States,"Active, not recruiting"
NCT04346810,Hôpital Raymond Poincaré,Dominique FLETCHER MD-PhD,Generic,Unknown,100,2020-09-01,N.A,Unknown
NCT04388657,Ramsay Générale de Santé,"Hôpital Privé Jacques Cartier, service réanimation Dr Bougouin",Generic,Unknown,100,2020-09-01,France,Recruiting
NCT04425382,Hamad Medical Corporation,Not Applicable,Generic,Unknown,200,2020-09-01,Qatar,Recruiting
NCT04361214,University of Chicago,Not Applicable,Treatment,Phase 1,20,2020-09-01,United States,Recruiting
NCT04560530,Tanta University,Not Applicable,Generic,Unknown,76,2020-09-01,Saudi Arabia,Unknown
NCT04503447,"Institute of Tropical Medicine, Belgium",Not Applicable,Generic,Unknown,430,2020-09-01,Belgium,Recruiting
NCT04433325,Rennes University Hospital,Not Applicable,Generic,Unknown,150,2020-09-01,France,Unknown
NCT04425460,Zhejiang Hisun Pharmaceutical Co. Ltd.,"Opera CRO, a TIGERMED Group Company",Treatment,Phase 3,256,2020-09-01,China,Unknown
NCT04460469,Cairo University,Not Applicable,Generic,Unknown,1500,2020-09-01,Egypt,Recruiting
NCT04447144,Cairo University,Not Applicable,Generic,Unknown,200,2020-09-01,Egypt,Recruiting
NCT04394195,CHU de Reims,Not Applicable,Generic,Unknown,200,2020-09-01,France,Recruiting
NCT04425707,"Ministry of Health and Population, Egypt",Not Applicable,Treatment,Unknown,100,2020-09-01,Egypt,Recruiting
NCT04346342,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Not Applicable,Generic,Unknown,1122,2020-09-01,Netherlands,Unknown
NCT04291053,Tongji Hospital,Not Applicable,Treatment,Phase 2,550,2020-09-01,N.A,Unknown
NCT04362267,"University Hospital, Lille",Fondation Santé Roquette,Generic,Unknown,150,2020-09-01,France,Recruiting
NCT04381871,Al-Neelain University,University of Khartoum,Treatment,Phase 2,110,2020-09-01,Sudan,Unknown
NCT04395664,Herlev and Gentofte Hospital,Not Applicable,Generic,Unknown,1000,2020-09-01,Denmark,Unknown
NCT04486144,HealthQuilt,The Schull Institute,Treatment,Unknown,100,2020-09-01,United States,Unknown
NCT04490772,Assiut University,Not Applicable,Generic,Unknown,200,2020-09-01,N.A,Unknown
NCT04476888,Aga Khan University,Not Applicable,Treatment,Unknown,100,2020-09-01,Pakistan,Recruiting
NCT04546191,Landspitali University Hospital,Not Applicable,Generic,Unknown,1580,2020-09-01,Iceland,Unknown
NCT04544150,Assiut University,Not Applicable,Generic,Unknown,220,2020-09-01,Egypt,Unknown
NCT04367402,Azienda Ospedaliera San Paolo,Not Applicable,Generic,Unknown,600,2020-09-01,Italy,Recruiting
NCT04363372,4D pharma plc,Not Applicable,Treatment,Phase 2,90,2020-09-01,United Kingdom,Recruiting
NCT04374903,King Hussein Cancer Center,Not Applicable,Treatment,Unknown,58,2020-09-01,Jordan,Unknown
NCT04400305,University of Victoria,Not Applicable,Other,Unknown,40,2020-09-01,Canada,Recruiting
NCT04347928,"University Hospital, Lille",Not Applicable,Generic,Unknown,15,2020-09-01,France,Recruiting
NCT04385836,"Ministry of Health, Saudi Arabia",Not Applicable,Treatment,Early Phase 1,150,2020-09-01,Saudi Arabia,Recruiting
NCT04351152,"Humanigen, Inc.",Not Applicable,Treatment,Phase 3,300,2020-09-01,United States,Recruiting
NCT04579289,Rennes University Hospital,Not Applicable,Generic,Unknown,230,2020-09-01,France,Unknown
NCT04341116,I-Mab Biopharma Co. Ltd.,Not Applicable,Treatment,Phase 1,144,2020-09-01,United States,Recruiting
NCT04389580,Kafrelsheikh University,Not Applicable,Treatment,Phase 2,160,2020-09-01,N.A,Unknown
NCT04343729,Fundação de Medicina Tropical Dr. Heitor Vieira Dourado,Not Applicable,Treatment,Phase 2,416,2020-09-01,Brazil,Unknown
NCT04385160,Fondazione per la Ricerca Ospedale Maggiore,European Leukemia Net,Generic,Unknown,80,2020-09-01,United States,Not yet recruiting
NCT04418531,Piero Luigi Ruggenenti,Aferetica,Treatment,Unknown,10,2020-09-01,Italy,Unknown
NCT04376515,"University of California, Irvine",Not Applicable,Supportive Care,Unknown,300,2020-09-01,United States,Unknown
NCT04359706,"University Hospital, Lille",Not Applicable,Generic,Unknown,30,2020-09-01,France,Recruiting
NCT04441398,Azidus Brasil,Farmoquimica S.A.,Treatment,Phase 2,300,2020-09-01,N.A,Unknown
NCT04311697,"NeuroRx, Inc.","Lavin Consulting, LLC",Treatment,Phase 2,144,2020-09-01,United States,Recruiting
NCT04530370,South Valley University,Not Applicable,Treatment,Early Phase 1,30,2020-09-01,Egypt,Recruiting
NCT04337788,"University Hospital, Limoges",Not Applicable,Prevention,Unknown,200,2020-09-01,N.A,Unknown
NCT04394793,"All India Institute of Medical Sciences, New Delhi",Not Applicable,Treatment,Unknown,10,2020-09-01,India,Unknown
NCT04348448,AUSL Romagna Rimini,Not Applicable,Generic,Unknown,100,2020-09-01,N.A,Unknown
NCT04420260,Unidad de Investigación Genética Molecular,Universidad de Antioquia,Prevention,Unknown,300,2020-09-01,N.A,Unknown
NCT04393415,Aljazeera Hospital,Not Applicable,Supportive Care,Unknown,100,2020-09-01,Egypt,Recruiting
NCT04371692,"University Hospital, Lille",Fondation Santé Roquette,Generic,Unknown,100,2020-09-01,N.A,Unknown
NCT04326725,Istinye University,Not Applicable,Generic,Unknown,80,2020-09-01,Turkey,Unknown
NCT04392778,SBÜ Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi,Istinye University,Treatment,Phase 1,30,2020-09-01,Turkey,Recruiting
NCT04376788,Ain Shams University,Not Applicable,Treatment,Phase 2,15,2020-09-01,Egypt,Recruiting
NCT04418193,Centre Hospitalier Princesse Grace,Not Applicable,Generic,Unknown,100,2020-09-01,Monaco,Recruiting
NCT04479345,Assiut University,Not Applicable,Generic,Unknown,100,2020-09-01,N.A,Unknown
NCT04333628,"HaEmek Medical Center, Israel",T MAY BIOPHARMA LTD.,Treatment,Phase 2,5,2020-09-01,Israel,Unknown
NCT04485351,"Central Hospital, Nancy, France",Not Applicable,Generic,Unknown,700,2020-09-01,France,Recruiting
NCT04457609,Indonesia University,Not Applicable,Treatment,Phase 1,40,2020-09-01,Indonesia,Recruiting
NCT04315298,Regeneron Pharmaceuticals,Sanofi,Treatment,Phase 2,1912,2020-09-02,United States,Unknown
NCT04446169,University of Florence,Azienda Ospedaliero-Universitaria Careggi,Generic,Unknown,50,2020-09-02,Italy,Recruiting
NCT04327388,Sanofi,Regeneron Pharmaceuticals,Treatment,Phase 3,420,2020-09-02,Argentina,Unknown
NCT04392128,Institut de Cancerologie Strasbourg Europe,Not Applicable,Treatment,Phase 2,0,2020-09-02,France,Unknown
NCT04371406,Assistance Publique - Hôpitaux de Paris,Not Applicable,Treatment,Phase 3,2770,2020-09-02,N.A,Unknown
NCT04569188,Azienda Socio Sanitaria Territoriale di Mantova,Not Applicable,Treatment,Phase 2,21,2020-09-03,Italy,Unknown
NCT04422873,University of Portsmouth,Portsmouth Hospitals NHS Trust,Generic,Unknown,40,2020-09-03,United Kingdom,Recruiting
NCT04463862,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,250,2020-09-04,Belgium,Recruiting
NCT04549350,Zagazig University,"Ministry of Health, Kuwait",Generic,Unknown,217,2020-09-05,Egypt,Unknown
NCT04552483,Universidade Federal do Rio de Janeiro,"Ministry of Science and Technology, Brazil",Treatment,Phase 2,396,2020-09-05,Brazil,Unknown
NCT04577235,Gaziosmanpasa Taksim Research and Education Hospital,Not Applicable,Diagnostic,Unknown,29,2020-09-05,Turkey,Unknown
NCT04484493,Benha University,Not Applicable,Treatment,Phase 3,50,2020-09-06,Egypt,Unknown
NCT04424082,Karolinska Institutet,"Stockholm County Council, Sweden",Supportive Care,Unknown,40,2020-09-07,Sweden,Recruiting
NCT04483830,Clinedem,Alfasigma S.p.A.,Treatment,Phase 2,243,2020-09-07,Mexico,Unknown
NCT04420390,"Hospital San Carlos, Madrid",Not Applicable,Treatment,Unknown,41,2020-09-08,Spain,Recruiting
NCT04371289,Istituto Auxologico Italiano,Not Applicable,Generic,Unknown,5500,2020-09-10,Italy,Unknown
NCT04459247,Postgraduate Institute of Medical Education and Research,Not Applicable,Treatment,Unknown,30,2020-09-10,India,Unknown
NCT04399681,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Diagnostic,Unknown,100,2020-09-10,Turkey,Recruiting
NCT04324736,Nantes University Hospital,Not Applicable,Generic,Unknown,5497,2020-09-10,France,Recruiting
NCT04523831,Dhaka Medical College,Not Applicable,Treatment,Phase 3,400,2020-09-10,Bangladesh,Unknown
NCT04521400,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 2,100,2020-09-11,N.A,Unknown
NCT04527601,"Rigshospitalet, Denmark",Not Applicable,Generic,Unknown,885,2020-09-13,Denmark,Unknown
NCT04349410,The Camelot Foundation,Not Applicable,Treatment,Phase 2,1800,2020-09-14,United States,Unknown
NCT04571593,National University of Natural Medicine,Not Applicable,Basic Science,Unknown,74,2020-09-14,United States,Unknown
NCT04333589,Peking University First Hospital,Not Applicable,Treatment,Unknown,210,2020-09-15,China,Not yet recruiting
NCT04407143,Fundación GECP,Not Applicable,Generic,Unknown,128,2020-09-15,Spain,Unknown
NCT04553055,Beni-Suef University,Not Applicable,Generic,Unknown,413,2020-09-15,Egypt,Unknown
NCT04515225,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,500,2020-09-15,N.A,Unknown
NCT04459403,Cairo University,"Ministry of Health and Population, Egypt",Generic,Unknown,200,2020-09-15,Egypt,Recruiting
NCT04525742,Gaziosmanpasa Taksim Research and Education Hospital,Not Applicable,Screening,Unknown,190,2020-09-15,Turkey,Recruiting
NCT04342104,Hospital General Universitario Morales Meseguer,Not Applicable,Generic,Unknown,100,2020-09-15,Spain,Recruiting
NCT04500067,Biopharma Plasma LLC,Lviv National Medical University,Treatment,Phase 3,76,2020-09-15,Ukraine,Unknown
NCT04484597,Port Said University,Not Applicable,Generic,Unknown,100,2020-09-15,Egypt,Recruiting
NCT04414098,Marcelo Iastrebner,Novartis,Treatment,Phase 2,100,2020-09-15,N.A,Unknown
NCT04531319,Istanbul Training and Research Hospital,Not Applicable,Generic,Unknown,60,2020-09-15,Turkey,Recruiting
NCT04473456,EmuraCenter LatinoAmerica,Universidad de la Sabana,Diagnostic,Unknown,40,2020-09-15,Colombia,Recruiting
NCT04468893,Universidad Internacional de Valencia,Universidad Nacional Autonoma de Mexico,Treatment,Unknown,128,2020-09-15,Mexico,Recruiting
NCT04395885,Assiut University,Not Applicable,Generic,Unknown,306,2020-09-15,Egypt,Unknown
NCT04431284,Hospices Civils de Lyon,Not Applicable,Generic,Unknown,46,2020-09-16,France,Recruiting
NCT04534621,Trate - Tratamentos Especializados,Not Applicable,Generic,Unknown,948,2020-09-18,N.A,Unknown
NCT04460196,"University Hospital, Angers",Not Applicable,Generic,Unknown,900,2020-09-18,France,Unknown
NCT04340219,"University Hospital, Ghent",Not Applicable,Generic,Unknown,394,2020-09-18,Belgium,Unknown
NCT04497623,Fundación Neumologica Colombiana,Universidad de la Sabana,Device Feasibility,Unknown,5,2020-09-20,Colombia,Unknown
NCT04326400,"Fundación Teófilo Hernando, Spain",Not Applicable,Generic,Unknown,1000,2020-09-20,Spain,Recruiting
NCT04359277,NYU Langone Health,Not Applicable,Treatment,Phase 3,77,2020-09-20,United States,Unknown
NCT04412239,Health Science Center of Xi'an Jiaotong University,Pakistan Institute of Medical Sciences Islamabad Pakistan,Other,Unknown,200,2020-09-20,Pakistan,Recruiting
NCT04344210,Federal University of Rio Grande do Sul,Not Applicable,Supportive Care,Unknown,149,2020-09-20,Brazil,Unknown
NCT04460547,Qassim University,Not Applicable,Generic,Unknown,200,2020-09-20,N.A,Unknown
NCT04477213,NMC Specialty Hospital,Not Applicable,Generic,Unknown,600,2020-09-20,N.A,Unknown
NCT04370288,Mashhad University of Medical Sciences,Not Applicable,Treatment,Phase 1,20,2020-09-21,"Iran, Islamic Republic of",Recruiting
NCT04546854,University of Warwick,Not Applicable,Other,Unknown,200,2020-09-21,United Kingdom,Unknown
NCT04366752,"Centre Hospitalier Universitaire, Amiens",Not Applicable,Generic,Unknown,100,2020-09-22,France,Recruiting
NCT04372680,"University Hospital, Toulouse",Not Applicable,Diagnostic,Unknown,200,2020-09-22,France,Recruiting
NCT04475718,HealthCore-NERI,"Orange Square Design, Inc.",Supportive Care,Unknown,85,2020-09-22,United States,Recruiting
NCT04392414,"Federal Research Clinical Center of Federal Medical & Biological Agency, Russia",Not Applicable,Treatment,Phase 2,60,2020-09-23,Russian Federation,Unknown
NCT04452422,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,30,2020-09-23,France,Recruiting
NCT04568356,"E25Bio, Inc.","SCRI Development Innovations, LLC",Diagnostic,Unknown,200,2020-09-24,United States,Unknown
NCT04409522,Mohammad Sadegh Bagheri Baghdasht,Not Applicable,Treatment,Unknown,55,2020-09-25,"Iran, Islamic Republic of",Recruiting
NCT04468217,Neurognos,Not Applicable,Generic,Unknown,150,2020-09-25,Chile,Recruiting
NCT04359537,Shaheed Zulfiqar Ali Bhutto Medical University,Not Applicable,Prevention,Phase 2,200,2020-09-25,Pakistan,Recruiting
NCT04432987,Acibadem University,The Scientific and Technological Research Council of Turkey,Treatment,Phase 2,60,2020-09-25,Turkey,Recruiting
NCT04449783,Liverpool University Hospitals NHS Foundation Trust,Not Applicable,Generic,Unknown,150,2020-09-25,United Kingdom,Recruiting
NCT04379492,Memorial Sloan Kettering Cancer Center,Not Applicable,Treatment,Phase 2,0,2020-09-25,United States,Unknown
NCT04335071,"University Hospital Inselspital, Berne",Roche Pharma AG,Treatment,Phase 2,5,2020-09-27,Switzerland,Unknown
NCT04383535,Hospital Italiano de Buenos Aires,Not Applicable,Treatment,Unknown,333,2020-09-27,Argentina,Unknown
NCT04491201,Lei Li,Not Applicable,Generic,Unknown,6000,2020-09-27,China,Recruiting
NCT04373889,Sciensano,Institute of Tropical Medicine Antwerp,Generic,Unknown,800,2020-09-27,Belgium,Recruiting
NCT04368338,"Centre Hospitalier Universitaire, Amiens",Not Applicable,Generic,Unknown,100,2020-09-28,France,Recruiting
NCT04354779,AUVA,Paracelsus Medical University,Generic,Unknown,3301,2020-09-28,Austria,Unknown
NCT04497948,AstraZeneca,Acerta Pharma B.V.,Treatment,Phase 1,20,2020-09-28,United States,Unknown
NCT04453553,Queen Mary University of London,Not Applicable,Diagnostic,Unknown,50,2020-09-28,United Kingdom,Unknown
NCT04426266,Szeged University,Not Applicable,Generic,Unknown,441,2020-09-28,Hungary,Unknown
NCT03175796,University of Michigan,Michigan Department of Health and Human Services,Treatment,Unknown,148,2020-09-29,United States,Unknown
NCT04381884,Laboratorio Elea Phoenix S.A.,Universidad Nacional de Salta,Treatment,Phase 2,45,2020-09-29,Argentina,Unknown
NCT04531501,Chronomics Limited,Not Applicable,Generic,Unknown,400,2020-09-29,United Kingdom,Recruiting
NCT04432103,Centro Medico ABC,Not Applicable,Treatment,Phase 3,36,2020-09-30,N.A,Unknown
NCT04532411,Massachusetts General Hospital,Not Applicable,Generic,Unknown,25000,2020-09-30,United States,Unknown
NCT04389515,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Generic,Unknown,75,2020-09-30,Turkey,Recruiting
NCT04326790,National and Kapodistrian University of Athens,Not Applicable,Treatment,Phase 2,180,2020-09-30,Gibraltar,Recruiting
NCT04348461,Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz,Instituto de Investigación Sanitaria y Biomédica de Alicante,Treatment,Phase 2,100,2020-09-30,N.A,Unknown
NCT04472585,Sohaib Ashraf,Not Applicable,Treatment,Phase 1,40,2020-09-30,Pakistan,Recruiting
NCT04469660,Max Healthcare Insititute Limited,Not Applicable,Generic,Unknown,1300,2020-09-30,India,Recruiting
NCT04468386,Biomerica,Not Applicable,Generic,Unknown,40,2020-09-30,United States,Unknown
NCT04313322,Stem Cells Arabia,Not Applicable,Treatment,Phase 1,5,2020-09-30,Jordan,Recruiting
NCT04524234,"Sahlgrenska University Hospital, Sweden",Not Applicable,Generic,Unknown,100,2020-09-30,Sweden,Completed
NCT04376905,"University Hospital, Montpellier",Not Applicable,Generic,Unknown,30,2020-09-30,France,Recruiting
NCT04424017,Egyptian Center for Research and Regenerative Medicine,Cairo University,Generic,Unknown,726,2020-09-30,Egypt,Recruiting
NCT04323644,University of Birmingham,Not Applicable,Generic,Unknown,1000,2020-09-30,Spain,Recruiting
NCT04327570,Universitaire Ziekenhuizen Leuven,Not Applicable,Generic,Unknown,100,2020-09-30,Belgium,Recruiting
NCT04377685,Centre Hospitalier Universitaire de Saint Etienne,Institut National des Sciences Appliquées (INSA),Generic,Unknown,800,2020-09-30,France,Recruiting
NCT04346264,Ludwig Boltzmann Institute for Lung Health,Not Applicable,Generic,Unknown,5500,2020-09-30,Austria,Unknown
NCT04487977,Spanish Society of Anesthesia and Critical Care (SEDAR),Confederation of Latin American Societies of Anaesthesiology (CLASA),Generic,Unknown,5000,2020-09-30,Spain,Recruiting
NCT04407559,"University Hospital, Montpellier",Not Applicable,Generic,Unknown,216,2020-09-30,France,Unknown
NCT04403061,Asociacion para el Estudio de las Enfermedades Infecciosas,Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal,Generic,Unknown,80,2020-09-30,Spain,Recruiting
NCT04366739,Centre Hospitalier St Anne,Hôpital Cochin,Treatment,Phase 3,40,2020-09-30,France,Unknown
NCT04381338,University of Padova,"Prof. S Masiero, University of Padova, Italy",Treatment,Unknown,92,2020-09-30,Italy,Unknown
NCT04375124,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Treatment,Unknown,20,2020-09-30,Turkey,Recruiting
NCT04473261,Sohaib Ashraf,"MTI Medical Private Limited, Pakistan",Treatment,Phase 1,30,2020-09-30,Pakistan,Recruiting
NCT04502342,Institute for Research and Development of Medicinal and Food Plants of Guinea,Not Applicable,Treatment,Phase 2,30,2020-09-30,Guinea,Unknown
NCT04444271,Dr. Zaineb Akram,Not Applicable,Treatment,Phase 2,20,2020-09-30,Pakistan,Recruiting
NCT04542447,Natureceuticals Sdn Bhd,Not Applicable,Treatment,Phase 1,10,2020-09-30,India,Recruiting
NCT04379375,Medical College of Wisconsin,Advancing a Healthier Wisconsin Endowment,Prevention,Unknown,45,2020-09-30,United States,Unknown
NCT04363489,King's College London,Guy's and St Thomas' NHS Foundation Trust,Generic,Unknown,60,2020-09-30,N.A,Unknown
NCT04381858,Centenario Hospital Miguel Hidalgo,Not Applicable,Treatment,Phase 3,500,2020-09-30,Mexico,Recruiting
NCT04362956,Fundacion Infant,Not Applicable,Generic,Unknown,200,2020-09-30,Argentina,Recruiting
NCT04547283,Atrium Health,Not Applicable,Treatment,Unknown,40,2020-09-30,United States,Recruiting
NCT04540926,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Not Applicable,Treatment,Phase 1,200,2020-09-30,Mexico,Unknown
NCT04412395,"National Research Center, Egypt",Egyptian Military Medical Services,Treatment,Phase 2,516,2020-09-30,Egypt,Unknown
NCT04324996,Chongqing Public Health Medical Center,"Chongqing Sidemu Biotechnology Technology Co.,Ltd.",Treatment,Phase 1,90,2020-09-30,China,Recruiting
NCT04337918,Sanotize Research and Development corp.,"The Emmes Company, LLC",Prevention,Phase 2,200,2020-09-30,Canada,"Active, not recruiting"
NCT04525443,"Hospital San Carlos, Madrid",Mayo Clinic,Generic,Unknown,100,2020-09-30,United States,"Active, not recruiting"
NCT04389489,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Generic,Unknown,140,2020-09-30,Turkey,Recruiting
NCT04573868,Hospitales Universitarios Virgen del Rocío,Not Applicable,Generic,Unknown,1000,2020-09-30,Spain,Recruiting
NCT04327349,Mazandaran University of Medical Sciences,Not Applicable,Treatment,Unknown,30,2020-09-30,"Iran, Islamic Republic of",Unknown
NCT04536259,University of Warwick,Not Applicable,Health Services Research,Unknown,1000,2020-09-30,N.A,Unknown
NCT04498507,University of Liege,Not Applicable,Generic,Unknown,50,2020-09-30,Belgium,Recruiting
NCT04455308,Rennes University Hospital,Not Applicable,Other,Unknown,300,2020-09-30,France,Not yet recruiting
NCT04344756,Assistance Publique - Hôpitaux de Paris,Not Applicable,Treatment,Phase 2,808,2020-09-30,France,Unknown
NCT04391738,"University Hospital, Lille",Not Applicable,Generic,Unknown,1200,2020-09-30,France,Unknown
NCT04459312,"Heinrich-Heine University, Duesseldorf",Dr. Wetzchewald,Generic,Unknown,600,2020-09-30,Germany,Recruiting
NCT04414410,Hospital Ambroise Paré Paris,Not Applicable,Generic,Unknown,1500,2020-09-30,France,Unknown
NCT04352517,University of Extremadura,Not Applicable,Generic,Unknown,3500,2020-09-30,Brazil,Recruiting
NCT04502368,Erasme University Hospital,Not Applicable,Generic,Unknown,15,2020-09-30,Belgium,Recruiting
NCT04459819,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",Not Applicable,Generic,Unknown,80,2020-09-30,Italy,Recruiting
NCT04427332,University of Milano Bicocca,Not Applicable,Generic,Unknown,500,2020-09-30,Italy,Recruiting
NCT04542967,Hospital Central Militar,Not Applicable,Treatment,Phase 2,150,2020-09-30,Mexico,Recruiting
NCT04460599,Centre d'Investigation Clinique et Technologique 805,Not Applicable,Generic,Unknown,30,2020-09-30,France,Recruiting
NCT04344457,"Perseverance Research Center, LLC",Athena Medical Group,Treatment,Phase 1,80,2020-09-30,United States,Recruiting
NCT04360980,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 2,80,2020-09-30,"Iran, Islamic Republic of",Recruiting
NCT04474457,"Ministry of Health, Turkey","Hacettepe University, School of Medicine",Generic,Unknown,1000,2020-09-30,Turkey,Recruiting
NCT04517630,Instituto Nacional de Enfermedades Respiratorias,Not Applicable,Generic,Unknown,90,2020-09-30,Mexico,Recruiting
NCT04343144,Assistance Publique - Hôpitaux de Paris,Not Applicable,Treatment,Phase 2,92,2020-09-30,France,Unknown
NCT04343339,"University Hospital, Montpellier",Not Applicable,Generic,Unknown,100,2020-09-30,France,Unknown
NCT04391127,Centenario Hospital Miguel Hidalgo,Not Applicable,Treatment,Phase 3,108,2020-09-30,Mexico,Unknown
NCT04376398,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Society for Anesthesia and Resuscitation of Belgium,Generic,Unknown,200,2020-09-30,Belgium,Recruiting
NCT04372043,Saint-Joseph University,Not Applicable,Generic,Unknown,1200,2020-09-30,Lebanon,Unknown
NCT04444310,Assiut University,Not Applicable,Generic,Unknown,100,2020-09-30,Egypt,Unknown
NCT04497194,Azienda Ospedaliera Universitaria Integrata Verona,Not Applicable,Generic,Unknown,500,2020-09-30,Italy,Recruiting
NCT04501965,Institute for Research and Development of Medicinal and Food Plants of Guinea,Not Applicable,Treatment,Phase 2,231,2020-09-30,Guinea,Unknown
NCT04542213,Hospital Regional de Alta Especialidad del Bajio,Not Applicable,Treatment,Phase 3,28,2020-09-30,Mexico,Recruiting
NCT04490837,Corporacion Parc Tauli,Not Applicable,Generic,Unknown,3500,2020-09-30,Spain,Unknown
NCT04375137,Shahid Beheshti University of Medical Sciences,Not Applicable,Generic,Unknown,90,2020-09-30,"Iran, Islamic Republic of",Recruiting
NCT04581161,Hill-Rom,Not Applicable,Treatment,Unknown,10,2020-10-01,United States,Recruiting
NCT04542226,NPO Petrovax,Not Applicable,Generic,Unknown,81,2020-10-01,Russian Federation,Unknown
NCT04469621,Sanofi,Not Applicable,Treatment,Phase 1,67,2020-10-01,Argentina,Unknown
NCT04334148,Adrian Hernandez,Patient-Centered Outcomes Research Institute,Prevention,Phase 3,2000,2020-10-01,United States,Recruiting
NCT04386759,Assistance Publique - Hôpitaux de Paris,Not Applicable,Generic,Unknown,6000,2020-10-01,France,Unknown
NCT04482361,Ministerio de Salud de Ciudad Autónoma de Buenos Aires,Not Applicable,Generic,Unknown,5400,2020-10-01,N.A,Unknown
NCT04422678,Alexandria University,"Science, Technology & Innovation Funding Authority (STIFA), Egypt",Treatment,Phase 3,30,2020-10-01,N.A,Unknown
NCT04392869,Universidad de Granada,Chair in Conscience and Development (UGR),Supportive Care,Unknown,75,2020-10-01,Spain,Unknown
NCT04374786,University of Arizona,Not Applicable,Supportive Care,Unknown,328,2020-10-01,United States,Unknown
